Date,Close,High,Low,Open,Volume
2010-1-4,81.51000214,81.68000031,79.62999725,79.62999725,263542
2010-1-5,81.76999664,82,80.94999695,81.62999725,258887
2010-1-6,83.18000031,83.51999664,80.84999847,81.43000031,370059
2010-1-7,82.66000366,83.36000061,82.26000214,83.19999695,246632
2010-1-8,82.75,83.47000122,81.80000305,82.65000153,310377
2010-1-11,82.51999664,83.94999695,81.95999908,82.87999725,296304
2010-1-12,80.79000092,82.33999634,79.91000366,82.06999969,333866
2010-1-13,79.65000153,80.66999817,78.37000275,80.05999756,401627
2010-1-14,79.38999939,80.36000061,78.91999817,79.62999725,275404
2010-1-15,78,79.30999756,77.69999695,79.19999695,200555
2010-1-19,79.01999664,79.15000153,76.76000214,77.84999847,186882
2010-1-20,77.62000275,79.02999878,76.95999908,78.87999725,303758
2010-1-21,76.08000183,78.36000061,75.66000366,77.55999756,327417
2010-1-22,74.54000092,76.5,74.01000214,75.83999634,348819
2010-1-25,75.26000214,75.41999817,74.05999756,74.23999786,280559
2010-1-26,74.70999908,75.38999939,73.81999969,75.27999878,256207
2010-1-27,73.66999817,75.08999634,72.65000153,74.69000244,356179
2010-1-28,73.63999939,74.48999786,72.93000031,73.75,292911
2010-1-29,72.88999939,74.81999969,72.43000031,73.88999939,335270
2010-2-1,74.43000031,74.98999786,72.48999786,72.83999634,277411
2010-2-2,77.23000336,77.41000366,74.40000153,74.94000244,366269
2010-2-3,76.98000336,78.04000092,76.51999664,76.98999786,391294
2010-2-4,73.13999939,77.16999817,72.41999817,77.08999634,523892
2010-2-5,71.19000244,73.94000244,69.5,73.04000092,596142
2010-2-8,71.88999939,72.38999939,70.76999664,72.18000031,345638
2010-2-9,73.75,74.15000153,71.31999969,71.68000031,429845
2010-2-10,74.51999664,74.97000122,72.59999847,73.79000092,422057
2010-2-11,75.27999878,75.69000244,73.37999725,74.65000153,464441
2010-2-12,74.12999725,75.34999847,72.66000366,75.30000305,335805
2010-2-16,77.01000214,77.41999817,73.70999908,74.01999664,365032
2010-2-17,77.33000183,77.81999969,76.52999878,77.31999969,283816
2010-2-18,79.05999756,79.29000092,76.31999969,77.29000092,274169
2010-2-19,79.80999756,80.09999847,77.76000214,78.37000275,183234
2010-2-22,80.16000366,80.51000214,79.44999695,80.09999847,238956
2010-2-23,78.86000061,80.38999939,78.22000122,80.02999878,316878
2010-2-24,80,80.44999695,78.25,79.12999725,289321
2010-2-25,78.16999817,80.31999969,77.05000305,80.30999756,346025
2010-2-26,79.66000366,80.05000305,77.81999969,78.33000183,319038
2010-3-1,78.69999695,80.62000275,78.05999756,79.83999634,298718
2010-3-2,79.68000031,80.94999695,78.26000214,78.87999725,301698
2010-3-3,80.87000275,81.23000336,79.44000244,79.63999939,306910
2010-3-4,80.20999908,81.08999634,79.69999695,81.01000214,278889
2010-3-5,81.5,82.06999969,80.47000122,80.58000183,299634
2010-3-8,81.87000275,82.41000366,80.75,81.79000092,295351
2010-3-9,81.48999786,81.91000366,80.16000366,81.75,332133
2010-3-10,82.08999634,83.02999878,80.80999756,81.37999725,430148
2010-3-11,82.11000061,82.37999725,81.33000183,81.98000336,279161
2010-3-12,81.23999786,83.16000366,80.56999969,82.19999695,337201
2010-3-15,79.80000305,81.30999756,79.12999725,81.12999725,283135
2010-3-16,81.69999695,82.04000092,79.31999969,79.83999634,290180
2010-3-17,82.93000031,83.08999634,81.72000122,82.05000305,275205
